,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
639,换,"<span class=""tone4"">换</span>","<span class=""tone4"">huàn</span><!--huan-->",exchange; trade; change; switch; convert (currency),"<span class=""tone1"">交</span><span class=""tone4"">换</span>{{c1:: － <span class=""tone1"">jiāo</span><span class=""tone4"">huàn</span> － exchange; swap}}",,,,,"他们互相交<span class=""highlight"">换</span>名片。",They're exchanging their name cards.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25442.gif"" alt=""换""style=""width:75px;height:75px;""/>",34 CharSet,data/sounds/oddcast-76cd696f-9f02589c-474c6996-40b2f098-fa54c86c.wav,huàn,huàn,Tone 4 ( ̀)
640,刚,"<span class=""tone1"">刚</span>","<span class=""tone1"">gāng</span><!--gang-->","just (a moment ago); exactly, just, precisely; barely, just","<span class=""tone1"">刚</span><span class=""tone2"">才</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone2"">cái</span> － a short while ago}}","<span class=""tone1"">刚</span><span class=""tone5"">刚</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone5"">gang</span> － only just; barely}}",,,,"他<span class=""highlight"">刚</span>离开公司。",He's just left the office.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/21018.gif"" alt=""刚""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-a2bce126-79b65bd0-308b2029-d916e59d-276f8fd0.wav,gāng,gāng,Tone 1 ( ̄)
641,钢,"<span class=""tone1"">钢</span>","<span class=""tone1"">gāng</span><!--gang-->",steel,"<span class=""tone1"">钢</span><span class=""tone3"">铁</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone3"">tiě</span> － steel}}","<span class=""tone1"">钢</span><span class=""tone2"">琴</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone2"">qín</span> － piano}}","<span class=""tone1"">钢</span><span class=""tone3"">板</span>{{c1:: － <span class=""tone1"">gāng</span><span class=""tone3"">bǎn</span> － steel plate}}",,,"她在练习弹<span class=""highlight"">钢</span>琴。",She's practicing the piano.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38050.gif"" alt=""钢""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-c1da88bd-27b2f8d1-3caf0a00-e2fa6209-3c593357.wav,gāng,gāng,Tone 1 ( ̄)
642,鸡,"<span class=""tone1"">鸡</span>","<span class=""tone1"">jī</span><!--ji-->",chicken,"<span class=""tone1"">鸡</span><span class=""tone4"">蛋</span>{{c1:: － <span class=""tone1"">jī</span><span class=""tone4"">dàn</span> － chicken egg}}","<span class=""tone3"">小</span><span class=""tone1"">鸡</span>{{c1:: － <span class=""tone3"">xiǎo</span><span class=""tone1"">jī</span> － chick}}",,,,"<span class=""highlight"">鸡</span>蛋破了。",The egg is broken.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/40481.gif"" alt=""鸡""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-d5094f1f-97328e75-1303678d-1467879b-ec8aaf60.wav,jī,jī,Tone 1 ( ̄)
643,虽,"<span class=""tone1"">虽</span>","<span class=""tone1"">suī</span><!--sui-->",although; even if,"<span class=""tone1"">虽</span><span class=""tone2"">然</span>{{c1:: － <span class=""tone1"">suī</span><span class=""tone2"">rán</span> － although; even though; even if}}","<span class=""tone1"">虽</span><span class=""tone4"">是</span>{{c1:: － <span class=""tone1"">suī</span><span class=""tone4"">shì</span> － although; even though; even if}}","<span class=""tone1"">虽</span><span class=""tone2"">则</span>{{c1:: － <span class=""tone1"">suī</span><span class=""tone2"">zé</span> － nevertheless; although}}",,,"<span class=""highlight"">虽</span>然跑得很累，但是很多人都没有放弃。","Though exhausted from running, many refused to give up.",,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/34429.gif"" alt=""虽""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-ee9c6932-5faba53c-70997f63-a172a245-2f798e58.wav,suī,suī,Tone 1 ( ̄)
644,般,"<span class=""tone1"">般</span>","<span class=""tone1"">bān</span><!--ban-->",sort; kind,"<span class=""tone4"">这</span><span class=""tone1"">般</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone1"">bān</span> － like this; this way}}","<span class=""tone1"">一</span><span class=""tone1"">般</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone1"">bān</span> － commonplace; generally}}","<span class=""tone3"">百</span><span class=""tone1"">般</span>{{c1:: － <span class=""tone3"">bǎi</span><span class=""tone1"">bān</span> － in a hundred and one ways; in every way possible}}","<span class=""tone1"">一</span><span class=""tone1"">般</span><span class=""tone2"">来</span><span class=""tone1"">说</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone1"">bān</span><span class=""tone2"">lái</span><span class=""tone1"">shuō</span> － generally speaking}}",,"她像花一<span class=""highlight"">般</span>美丽。",She is as beautiful as a flower.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/33324.gif"" alt=""般""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-7c679013-e7d226c5-829deca0-98ad9ccf-60fc65b3.wav,bān,bān,Tone 1 ( ̄)
645,搬,"<span class=""tone1"">搬</span>","<span class=""tone1"">bān</span><!--ban-->",to move (houses),"<span class=""tone1"">搬</span><span class=""tone1"">家</span>{{c1:: － <span class=""tone1"">bān</span><span class=""tone1"">jiā</span> － to move house}}","<span class=""tone1"">搬</span><span class=""tone1"">出</span><span class=""tone4"">去</span>{{c1:: － <span class=""tone1"">bān</span><span class=""tone1"">chū</span><span class=""tone4"">qù</span> － to move out; vacate}}","<span class=""tone1"">搬</span><span class=""tone4"">运</span>{{c1:: － <span class=""tone1"">bān</span><span class=""tone4"">yùn</span> － freight; transport; portage}}",,,"如果是那样，也许你得<span class=""highlight"">搬</span>家 。","If that's the problem, maybe you should move.",,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25644.gif"" alt=""搬""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-e3716322-5c5f7151-f08afe40-f687cf2f-cde0c307.wav,bān,bān,Tone 1 ( ̄)
646,迎,"<span class=""tone2"">迎</span>","<span class=""tone2"">yíng</span><!--ying-->",welcome; receive; meet; greet,"<span class=""tone1"">欢</span><span class=""tone2"">迎</span>{{c1:: － <span class=""tone1"">huān</span><span class=""tone2"">yíng</span> － welcome}}","<span class=""tone2"">迎</span><span class=""tone1"">接</span>{{c1:: － <span class=""tone2"">yíng</span><span class=""tone1"">jiē</span> － to meet; greet}}",,,,"女儿向我<span class=""highlight"">迎</span>面走来。",My daughter walked towards me head-on.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36814.gif"" alt=""迎""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-81e19062-06f96984-6432d7c0-962cd048-8fc636ff.wav,yíng,yíng,Tone 2 ( ́)
647,纸,"<span class=""tone3"">纸</span>","<span class=""tone3"">zhǐ</span><!--zhi-->",paper,"<span class=""tone4"">报</span><span class=""tone3"">纸</span>{{c1:: － <span class=""tone4"">bào</span><span class=""tone3"">zhǐ</span> － newspaper}}","<span class=""tone3"">纸</span><span class=""tone2"">条</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone2"">tiáo</span> － slip of paper}}","<span class=""tone2"">图</span><span class=""tone3"">纸</span>{{c1:: － <span class=""tone2"">tú</span><span class=""tone3"">zhǐ</span> － blueprint; drawing; design plans}}","<span class=""tone3"">纸</span><span class=""tone1"">箱</span>{{c1:: － <span class=""tone3"">zhǐ</span><span class=""tone1"">xiāng</span> － carton; carboard box}}",,"他在看报<span class=""highlight"">纸</span>。",He's reading a newspaper.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32440.gif"" alt=""纸""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-eea8b2a8-030cfe96-073a62b5-52ea87d5-81114101.wav,zhǐ,zhǐ,Tone 3 ( ̌)
648,低,"<span class=""tone1"">低</span>","<span class=""tone1"">dī</span><!--di-->",low,"<span class=""tone1"">低</span><span class=""tone4"">调</span>{{c1:: － <span class=""tone1"">dī</span><span class=""tone4"">diào</span> － low-key}}","<span class=""tone4"">降</span><span class=""tone1"">低</span>{{c1:: － <span class=""tone4"">jiàng</span><span class=""tone1"">dī</span> － to reduce; to lower; to bring down}}","<span class=""tone1"">高</span><span class=""tone1"">低</span>{{c1:: － <span class=""tone1"">gāo</span><span class=""tone1"">dī</span> － height; altitude; pitch}}","<span class=""tone1"">低</span><span class=""tone1"">压</span>{{c1:: － <span class=""tone1"">dī</span><span class=""tone1"">yā</span> － low pressure/voltage}}",,"鸟飞得很<span class=""highlight"">低</span>。",The bird is flying very low.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20302.gif"" alt=""低"" style=""width:75px;height:75px;"">",35 CharSet,data/sounds/oddcast-29eb13a9-a3f69e1b-62db9ac6-82bf46d0-87e358e9.wav,dī,dī,Tone 1 ( ̄)
649,永,"<span class=""tone3"">永</span>","<span class=""tone3"">yǒng</span><!--yong-->",forever; always; perpetually; permanently,"<span class=""tone3"">永</span><span class=""tone3"">远</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone3"">yuǎn</span> － forever; eternal}}","<span class=""tone3"">永</span><span class=""tone4"">不</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone4"">bù</span> － never; will never}}","<span class=""tone3"">永</span><span class=""tone3"">久</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone3"">jiǔ</span> － everlasting; perpetual}}",,,"钻石代表着<span class=""highlight"">永</span>恒的爱。",Diamonds represents eternal love.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27704.gif"" alt=""永""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-a3f1f045-86adda29-a3f42736-a8a05c5b-073dc05e.wav,yǒng,yǒng,Tone 3 ( ̌)
650,泳,"<span class=""tone3"">泳</span>","<span class=""tone3"">yǒng</span><!--yong-->",swim,"<span class=""tone2"">游</span><span class=""tone3"">泳</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone3"">yǒng</span> － to swim; swimming}}","<span class=""tone3"">泳</span><span class=""tone1"">装</span>{{c1:: － <span class=""tone3"">yǒng</span><span class=""tone1"">zhuāng</span> － swimsuit}}","<span class=""tone2"">游</span><span class=""tone3"">泳</span><span class=""tone2"">池</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone3"">yǒng</span><span class=""tone2"">chí</span> － swimming pool}}",,,"游<span class=""highlight"">泳</span>是她的专长。",Swimming is her specialty.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27891.gif"" alt=""泳""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-1f057a27-ce81dbcc-54b20dd4-106bfd94-3fc3a6d6.wav,yǒng,yǒng,Tone 3 ( ̌)
651,族,"<span class=""tone2"">族</span>","<span class=""tone2"">zú</span><!--zu-->",race; nationality; ethnic group; people; tribe,"<span class=""tone2"">民</span><span class=""tone2"">族</span>{{c1:: － <span class=""tone2"">mín</span><span class=""tone2"">zú</span> － nationality; ethnic group}}","<span class=""tone1"">家</span><span class=""tone2"">族</span>{{c1:: － <span class=""tone1"">jiā</span><span class=""tone2"">zú</span> － family; clan}}","<span class=""tone1"">一</span><span class=""tone2"">族</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone2"">zú</span> － social group; subculture}}","<span class=""tone2"">民</span><span class=""tone2"">族</span><span class=""tone2"">团</span><span class=""tone2"">结</span>{{c1:: － <span class=""tone2"">mín</span><span class=""tone2"">zú</span><span class=""tone2"">tuán</span><span class=""tone2"">jié</span> － national unity}}",,"她是少数民<span class=""highlight"">族</span>。",She is an ethnic minority.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26063.gif"" alt=""族""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-274b2d5a-97c6869e-6f090ca9-8e86e435-af4b5a9f.wav,zú,zú,Tone 2 ( ́)
652,游,"<span class=""tone2"">游</span>","<span class=""tone2"">yóu</span><!--you-->",to tour; to swim,"<span class=""tone2"">游</span><span class=""tone4"">客</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone4"">kè</span> － tourist}}","<span class=""tone3"">导</span><span class=""tone2"">游</span>{{c1:: － <span class=""tone3"">dǎo</span><span class=""tone2"">yóu</span> － tour guide}}","<span class=""tone3"">旅</span><span class=""tone2"">游</span>{{c1:: － <span class=""tone3"">lǚ</span><span class=""tone2"">yóu</span> － trip; journey; tourism}}",,,"导<span class=""highlight"">游</span>领着我们往前走。",The tour guide takes us ahead.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/28216.gif"" alt=""游""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-eef3f7df-e08c272c-0c8b067d-99c96b84-15206a3a.wav,yóu,yóu,Tone 2 ( ́)
653,冬,"<span class=""tone1"">冬</span>","<span class=""tone1"">dōng</span><!--dong-->",winter,"<span class=""tone1"">冬</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone1"">dōng</span><span class=""tone1"">tiān</span> － winter}}","<span class=""tone2"">寒</span><span class=""tone1"">冬</span>{{c1:: － <span class=""tone2"">hán</span><span class=""tone1"">dōng</span> － wintery}}",,,,"<span class=""highlight"">冬</span>天来了。。。","Winter is coming...<br /><img src=""winter.png"" />",,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20908.gif"" alt=""冬""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-5b1807f6-19b69eff-5737b48f-fcc4af98-3894b037.wav,dōng,dōng,Tone 1 ( ̄)
654,疼,"<span class=""tone2"">疼</span>","<span class=""tone2"">téng</span><!--teng-->",ache,"<span class=""tone2"">头</span><span class=""tone2"">疼</span>{{c1:: － <span class=""tone2"">tóu</span><span class=""tone2"">téng</span> － headache}}","<span class=""tone2"">疼</span><span class=""tone3"">死</span>{{c1:: － <span class=""tone2"">téng</span><span class=""tone3"">sǐ</span> － to really hurt}}","<span class=""tone4"">蛋</span><span class=""tone2"">疼</span>{{c1:: － <span class=""tone4"">dàn</span><span class=""tone2"">téng</span> － ball breaking; pain in the ass}}",,,"他的膝关节有点<span class=""highlight"">疼</span>。",His knee joints ache a little.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30140.gif"" alt=""疼""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-881b6c36-d5afe9d9-d6f12cdc-520f6d21-68c62776.wav,téng,téng,Tone 2 ( ́)
655,图,"<span class=""tone2"">图</span>","<span class=""tone2"">tú</span><!--tu-->",diagram,"<span class=""tone4"">地</span><span class=""tone2"">图</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone2"">tú</span> － map}}","<span class=""tone2"">图</span><span class=""tone1"">书</span><span class=""tone3"">馆</span>{{c1:: － <span class=""tone2"">tú</span><span class=""tone1"">shū</span><span class=""tone3"">guǎn</span> － library}}","<span class=""tone2"">图</span><span class=""tone4"">片</span>{{c1:: － <span class=""tone2"">tú</span><span class=""tone4"">piàn</span> － image}}","<span class=""tone3"">企</span><span class=""tone2"">图</span>{{c1:: － <span class=""tone3"">qǐ</span><span class=""tone2"">tú</span> － to attempt; to try}}",,"他们在研究世界地<span class=""highlight"">图</span>。",They're studying the world map.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22270.gif"" alt=""图""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-f38fa1f3-7ffff203-51e1e162-13d87ae8-21de0b75.wav,tú,tú,Tone 2 ( ́)
656,春,"<span class=""tone1"">春</span>","<span class=""tone1"">chūn</span><!--chun-->",spring,"<span class=""tone1"">春</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone1"">chūn</span><span class=""tone1"">tiān</span> － spring}}","<span class=""tone1"">春</span><span class=""tone2"">节</span>{{c1:: － <span class=""tone1"">chūn</span><span class=""tone2"">jié</span> － spring festival}}","<span class=""tone1"">春</span><span class=""tone4"">药</span>{{c1:: － <span class=""tone1"">chūn</span><span class=""tone4"">yào</span> － aphrodesiac}}",,,"<span class=""highlight"">春</span>天的天气很温暖。",The weather in spring is very warm.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26149.gif"" alt=""春""style=""width:75px;height:75px;""/>",35 CharSet,data/sounds/oddcast-5471dd42-9a3bc925-fcbaa900-5a79f9c5-16db0181.wav,chūn,chūn,Tone 1 ( ̄)
