一	"<span class=""tone1"">一</span>"	"<span class=""tone1"">yī</span><!--yi-->"	one	"<span class=""tone1"">一</span><span class=""tone4"">个</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">gè</span> － one of}}"	"<span class=""tone1"">一</span><span class=""tone3"">本</span><span class=""tone1"">书</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone3"">běn</span><span class=""tone1"">shū</span> － a book}}"	"<span class=""tone1"">一</span><span class=""tone4"">次</span>{{c1:: － <span class=""tone1"">yī</span><span class=""tone4"">cì</span> － once}}"	"<span class=""tone4"">第</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone1"">yī</span> － first}}"		"<span class=""highlight"">一</span>二三。"	One two three.	yī èr sān 。<!--yi er san 。-->	[sound:oddcast-6401d539-04374423-203ccc64-a4a3e1fb-79a85831.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19968.gif"" alt=""一"" style=""width:75px;height:75px;"">"	1 CharSet
疼	"<span class=""tone2"">疼</span>"	"<span class=""tone2"">téng</span><!--teng-->"	ache	"<span class=""tone2"">头</span><span class=""tone2"">疼</span>{{c1:: － <span class=""tone2"">tóu</span><span class=""tone2"">téng</span> － headache}}"	"<span class=""tone2"">疼</span><span class=""tone3"">死</span>{{c1:: － <span class=""tone2"">téng</span><span class=""tone3"">sǐ</span> － to really hurt}}"	"<span class=""tone4"">蛋</span><span class=""tone2"">疼</span>{{c1:: － <span class=""tone4"">dàn</span><span class=""tone2"">téng</span> － ball breaking; pain in the ass}}"			"他的膝关节有点<span class=""highlight"">疼</span>。"	His knee joints ache a little.		[sound:oddcast-881b6c36-d5afe9d9-d6f12cdc-520f6d21-68c62776.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30140.gif"" alt=""疼""style=""width:75px;height:75px;""/>"	35 CharSet
图	"<span class=""tone2"">图</span>"	"<span class=""tone2"">tú</span><!--tu-->"	diagram	"<span class=""tone4"">地</span><span class=""tone2"">图</span>{{c1:: － <span class=""tone4"">dì</span><span class=""tone2"">tú</span> － map}}"	"<span class=""tone2"">图</span><span class=""tone1"">书</span><span class=""tone3"">馆</span>{{c1:: － <span class=""tone2"">tú</span><span class=""tone1"">shū</span><span class=""tone3"">guǎn</span> － library}}"	"<span class=""tone2"">图</span><span class=""tone4"">片</span>{{c1:: － <span class=""tone2"">tú</span><span class=""tone4"">piàn</span> － image}}"	"<span class=""tone3"">企</span><span class=""tone2"">图</span>{{c1:: － <span class=""tone3"">qǐ</span><span class=""tone2"">tú</span> － to attempt; to try}}"		"他们在研究世界地<span class=""highlight"">图</span>。"	They're studying the world map.		[sound:oddcast-f38fa1f3-7ffff203-51e1e162-13d87ae8-21de0b75.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22270.gif"" alt=""图""style=""width:75px;height:75px;""/>"	35 CharSet
春	"<span class=""tone1"">春</span>"	"<span class=""tone1"">chūn</span><!--chun-->"	spring	"<span class=""tone1"">春</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone1"">chūn</span><span class=""tone1"">tiān</span> － spring}}"	"<span class=""tone1"">春</span><span class=""tone2"">节</span>{{c1:: － <span class=""tone1"">chūn</span><span class=""tone2"">jié</span> － spring festival}}"	"<span class=""tone1"">春</span><span class=""tone4"">药</span>{{c1:: － <span class=""tone1"">chūn</span><span class=""tone4"">yào</span> － aphrodesiac}}"			"<span class=""highlight"">春</span>天的天气很温暖。"	The weather in spring is very warm.		[sound:oddcast-5471dd42-9a3bc925-fcbaa900-5a79f9c5-16db0181.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26149.gif"" alt=""春""style=""width:75px;height:75px;""/>"	35 CharSet
秋	"<span class=""tone1"">秋</span>"	"<span class=""tone1"">qīu</span><!--qiu-->"	fall; autumn	"<span class=""tone1"">秋</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone1"">qiū</span><span class=""tone1"">tiān</span> － fall; autumn}}"	"<span class=""tone1"">秋</span><span class=""tone4"">叶</span>{{c1:: － <span class=""tone1"">qiū</span><span class=""tone4"">yè</span> － autumn leaf}}"	"<span class=""tone1"">中</span><span class=""tone1"">秋</span><span class=""tone2"">节</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone1"">qiū</span><span class=""tone2"">jié</span> － the Mid-Autumn festival}}"			"中<span class=""highlight"">秋</span>节吃月饼是中国的风俗。"	Eating moon cakes on Mid-Autumn Day is a custom in China.		[sound:oddcast-ff886810-0f6dae28-369b8070-edf38bbe-4f77ad67.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31179.gif"" alt=""秋""style=""width:75px;height:75px;""/>"	35 CharSet
夏	"<span class=""tone4"">夏</span>"	"<span class=""tone4"">xià</span><!--xia-->"	summer	"<span class=""tone4"">夏</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone1"">tiān</span> － summer}}"	"<span class=""tone4"">夏</span><span class=""tone4"">日</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone4"">rì</span> － summertime}}"				"<span class=""highlight"">夏</span>天到了。"	Summer has arrived.		[sound:oddcast-eb54094d-1b49ebfe-340b193a-a393b2f4-16c24695.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22799.gif"" alt=""夏""style=""width:75px;height:75px;""/>"	35 CharSet
热	"<span class=""tone4"">热</span>"	"<span class=""tone4"">rè</span><!--re-->"	hot	"<span class=""tone4"">热</span><span class=""tone2"">情</span>{{c1:: － <span class=""tone4"">rè</span><span class=""tone2"">qíng</span> － enthusiasm}}"	"<span class=""tone4"">热</span><span class=""tone3"">点</span>{{c1:: － <span class=""tone4"">rè</span><span class=""tone3"">diǎn</span> － hot spot}}"	"<span class=""tone4"">热</span><span class=""tone4"">爱</span>{{c1:: － <span class=""tone4"">rè</span><span class=""tone4"">ài</span> － to love deeply}}"	"<span class=""tone4"">热</span><span class=""tone4"">带</span>{{c1:: － <span class=""tone4"">rè</span><span class=""tone4"">dài</span> － the Tropics}}"	"<span class=""tone4"">热</span><span class=""tone1"">心</span>{{c1:: － <span class=""tone4"">rè</span><span class=""tone1"">xīn</span> － enthusiastic}}"	"今晚的酒席很<span class=""highlight"">热</span>闹。"	Tonight's banquet was very lively.		[sound:oddcast-3657d208-cddd4999-08e8666a-47ec7f5f-6e8c698d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/28909.gif"" alt=""热""style=""width:75px;height:75px;""/>"	35 CharSet
坚	"<span class=""tone1"">坚</span>"	"<span class=""tone1"">jiān</span><!--jian-->"	hard; solid; resolutely; steadfastly	"<span class=""tone1"">坚</span><span class=""tone2"">持</span>{{c1:: － <span class=""tone1"">jiān</span><span class=""tone2"">chí</span> － uphold; persist in}}"	"<span class=""tone1"">坚</span><span class=""tone2"">决</span>{{c1:: － <span class=""tone1"">jiān</span><span class=""tone2"">jué</span> － resolute; determined}}"				"她<span class=""highlight"">坚</span>持自己的观点。"	She sticks to her own opinion.		[sound:oddcast-d2a5d9dc-52a5bb2b-277d61b9-d5d8db1b-aa03c22e.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22362.gif"" alt=""坚""style=""width:75px;height:75px;""/>"	36 CharSet
紧	"<span class=""tone3"">紧</span>"	"<span class=""tone3"">jǐn</span><!--jin-->"	tight; urgent; pressing; financially tight	"<span class=""tone3"">紧</span><span class=""tone1"">张</span>{{c1:: － <span class=""tone3"">jǐn</span><span class=""tone1"">zhāng</span> － nervous; tense}}"	"<span class=""tone4"">要</span><span class=""tone3"">紧</span>{{c1:: － <span class=""tone4"">yào</span><span class=""tone3"">jǐn</span> － important; urgent}}"	"<span class=""tone4"">不</span><span class=""tone4"">要</span><span class=""tone3"">紧</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone4"">yào</span><span class=""tone3"">jǐn</span> － Do not...}}"			"裤子太<span class=""highlight"">紧</span>了。"	These pants are too tight.		[sound:oddcast-63441c4e-28183e48-2fbb8cb2-38d0abc7-c597f639.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/32039.gif"" alt=""紧""style=""width:75px;height:75px;""/>"	36 CharSet
览	"<span class=""tone3"">览</span>"	"<span class=""tone3"">lǎn</span><!--lan-->"	to look at; to view; to read	"<span class=""tone3"">展</span><span class=""tone3"">览</span>{{c1:: － <span class=""tone3"">zhǎn</span><span class=""tone3"">lǎn</span> － exhibit; exhibition}}"	"<span class=""tone2"">游</span><span class=""tone3"">览</span>{{c1:: － <span class=""tone2"">yóu</span><span class=""tone3"">lǎn</span> － tour; sightsee}}"	"<span class=""tone4"">预</span><span class=""tone3"">览</span>{{c1:: － <span class=""tone4"">yù</span><span class=""tone3"">lǎn</span> － preview}}"			"纵使明天下雨，他们也要去游<span class=""highlight"">览</span> 。"	Even if it should rain tomorrow, they will go for an outing.		[sound:oddcast-b2591524-ff28b15d-6b5650b9-743c6a32-c3a37c43.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/35272.gif"" alt=""览""style=""width:75px;height:75px;""/>"	36 CharSet
蓝	"<span class=""tone2"">蓝</span>"	"<span class=""tone2"">lán</span><!--lan-->"	blue	"<span class=""tone2"">蓝</span><span class=""tone4"">色</span>{{c1:: － <span class=""tone2"">lán</span><span class=""tone4"">sè</span> － the colour blue}}"	"<span class=""tone2"">蓝</span><span class=""tone2"">图</span>{{c1:: － <span class=""tone2"">lán</span><span class=""tone2"">tú</span> － blueprint}}"				"我支持<span class=""highlight"">蓝</span>队。"	I support the blue team.		[sound:oddcast-d0146321-23aeed9e-5c4a686c-a4503dcf-799148a5.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/34013.gif"" alt=""蓝""style=""width:75px;height:75px;""/>"	36 CharSet
篮	"<span class=""tone2"">篮</span>"	"<span class=""tone2"">lán</span><!--lan-->"	basket	"<span class=""tone2"">篮</span><span class=""tone2"">球</span>{{c1:: － <span class=""tone2"">lán</span><span class=""tone2"">qiú</span> － basketball}}"	"<span class=""tone2"">篮</span><span class=""tone5"">子</span>{{c1:: － <span class=""tone2"">lán</span><span class=""tone5"">zi</span> － basket}}"				"他在编<span class=""highlight"">篮</span>子。"	He's weaving a basket.		[sound:oddcast-6303630c-94072412-b80c9157-61701686-752fe41a.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31726.gif"" alt=""篮""style=""width:75px;height:75px;""/>"	36 CharSet
福	"<span class=""tone2"">福</span>"	"<span class=""tone2"">fú</span><!--fu-->"	good fortune; blessing; happiness	"<span class=""tone4"">幸</span><span class=""tone2"">福</span>{{c1:: － <span class=""tone4"">xìng</span><span class=""tone2"">fú</span> － happy; fortunate}}"	"<span class=""tone2"">福</span><span class=""tone1"">音</span>{{c1:: － <span class=""tone2"">fú</span><span class=""tone1"">yīn</span> － good news}}"	"<span class=""tone2"">福</span><span class=""tone4"">利</span>{{c1:: － <span class=""tone2"">fú</span><span class=""tone4"">lì</span> － material benefit; social welfare}}"			"发达国家的社会<span class=""highlight"">福</span>利很好。"	Social benefits in the developed countries are very good.		[sound:oddcast-7f7d0b23-5c3752de-0b6bc759-3b0a6838-b7eb1fde.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/31119.gif"" alt=""福""style=""width:75px;height:75px;""/>"	36 CharSet
富	"<span class=""tone4"">富</span>"	"<span class=""tone4"">fù</span><!--fu-->"	wealthy; rich	"<span class=""tone4"">富</span><span class=""tone2"">人</span>{{c1:: － <span class=""tone4"">fù</span><span class=""tone2"">rén</span> － rich person}}"	"<span class=""tone2"">财</span><span class=""tone4"">富</span>{{c1:: － <span class=""tone2"">cái</span><span class=""tone4"">fù</span> － riches; wealth}}"				"他拥有很多财<span class=""highlight"">富</span>。"	He has a lot of money.		[sound:oddcast-75808f73-719030a7-c938525b-e6002a71-ac1dcb56.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23500.gif"" alt=""富""style=""width:75px;height:75px;""/>"	36 CharSet
丰	"<span class=""tone1"">丰</span>"	"<span class=""tone1"">fēng</span><!--feng-->"	abundant	"<span class=""tone1"">丰</span><span class=""tone4"">富</span>{{c1:: － <span class=""tone1"">fēng</span><span class=""tone4"">fù</span> － rich; abundant}}"	"<span class=""tone1"">丰</span><span class=""tone3"">产</span>{{c1:: － <span class=""tone1"">fēng</span><span class=""tone3"">chǎn</span> － high yield}}"				"超市里水果的品种很<span class=""highlight"">丰</span>富。"	There's a tremendous variety of fruits in the supermarket.		[sound:oddcast-854b64c2-b7f35f33-e97c214c-b15113b6-3524d632.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20016.gif"" alt=""丰"" style=""width:75px;height:75px;"">"	36 CharSet
帮	"<span class=""tone1"">帮</span>"	"<span class=""tone1"">bāng</span><!--bang-->"	help	"<span class=""tone1"">帮</span><span class=""tone4"">助</span>{{c1:: － <span class=""tone1"">bāng</span><span class=""tone4"">zhù</span> － to help}}"	"<span class=""tone1"">帮</span><span class=""tone2"">忙</span>{{c1:: － <span class=""tone1"">bāng</span><span class=""tone2"">máng</span> － to help}}"				"我们需要互相<span class=""highlight"">帮</span>助。"	We need to help one another.		[sound:oddcast-ad2177be-bf00b0d4-75489bb1-127f1552-a0f3e7c3.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/24110.gif"" alt=""帮""style=""width:75px;height:75px;""/>"	36 CharSet
围	"<span class=""tone2"">围</span>"	"<span class=""tone2"">wéi</span><!--wei-->"	surround; defend; pen (for animals)	"<span class=""tone1"">周</span><span class=""tone2"">围</span>{{c1:: － <span class=""tone1"">zhōu</span><span class=""tone2"">wéi</span> － surounding area; all around}}"					"湖的周<span class=""highlight"">围</span>环绕着很多树。"	There are many trees around the lake.		[sound:oddcast-eb2ba632-67196ec8-3f43e0a5-60270c1f-4abfff2d.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/22260.gif"" alt=""围""style=""width:75px;height:75px;""/>"	36 CharSet
伟	"<span class=""tone3"">伟</span>"	"<span class=""tone3"">wěi</span><!--wei-->"	great; big; grand; magnificent	"<span class=""tone3"">伟</span><span class=""tone4"">大</span>{{c1:: － <span class=""tone3"">wěi</span><span class=""tone4"">dà</span> － great}}"					"<u>金门大桥</u>很雄<span class=""highlight"">伟</span>。"	The Golden Gate Bridge is majestic.		[sound:oddcast-632de025-3b198bc7-005059b8-c9bf1d5a-2b6f0113.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20255.gif"" alt=""伟"" style=""width:75px;height:75px;"">"	36 CharSet
挂	"<span class=""tone4"">挂</span>"	"<span class=""tone4"">guà</span><!--gua-->"	to hang	"<span class=""tone4"">挂</span><span class=""tone4"">号</span>{{c1:: － <span class=""tone4"">guà</span><span class=""tone4"">hào</span> － register (at hospital)}}"	"<span class=""tone4"">挂</span><span class=""tone2"">牌</span>{{c1:: － <span class=""tone4"">guà</span><span class=""tone2"">pái</span> － to open up for business; listed (on stock market)}}"	"<span class=""tone2"">悬</span><span class=""tone4"">挂</span>{{c1:: － <span class=""tone2"">xuán</span><span class=""tone4"">guà</span> － to suspend; to hang}}"			"她把衣服<span class=""highlight"">挂</span>出去。"	She hangs out the clothes.		[sound:oddcast-f6a2015f-6637232e-b73d7c02-1f747e57-b302ba31.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25346.gif"" alt=""挂""style=""width:75px;height:75px;""/>"	36 CharSet
封	"<span class=""tone1"">封</span>"	"<span class=""tone1"">fēng</span><!--feng-->"	to seal up	"<span class=""tone4"">信</span><span class=""tone1"">封</span>{{c1:: － <span class=""tone4"">xìn</span><span class=""tone1"">fēng</span> － envelope}}"	"<span class=""tone1"">封</span><span class=""tone4"">建</span>{{c1:: － <span class=""tone1"">fēng</span><span class=""tone4"">jiàn</span> － fuedal}}"	"<span class=""tone1"">冰</span><span class=""tone1"">封</span>{{c1:: － <span class=""tone1"">bīng</span><span class=""tone1"">fēng</span> － to freeze over}}"			"信<span class=""highlight"">封</span>上贴着两张邮票。"	There are two stamps pasted on the envelope.		[sound:oddcast-a0ef6077-3d008974-277cd937-17a6118d-bfe35c78.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/23553.gif"" alt=""封""style=""width:75px;height:75px;""/>"	36 CharSet
街	"<span class=""tone1"">街</span>"	"<span class=""tone1"">jiē</span><!--jie-->"	street	"<span class=""tone1"">街</span><span class=""tone4"">道</span>{{c1:: － <span class=""tone1"">jiē</span><span class=""tone4"">dào</span> － street}}"	"<span class=""tone4"">逛</span><span class=""tone1"">街</span>{{c1:: － <span class=""tone4"">guàng</span><span class=""tone1"">jiē</span> － taking a stroll; window shopping}}"	"<span class=""tone2"">华</span><span class=""tone3"">尔</span><span class=""tone1"">街</span>{{c1:: － <span class=""tone2"">huá</span><span class=""tone3"">ěr</span><span class=""tone1"">jiē</span> － Wall Street (American Big Business)}}"	"<span class=""tone1"">街</span><span class=""tone1"">坊</span>{{c1:: － <span class=""tone1"">jiē</span><span class=""tone1"">fāng</span> － neighborhood}}"	"<span class=""tone4"">大</span><span class=""tone1"">街</span>{{c1:: － <span class=""tone4"">dà</span><span class=""tone1"">jiē</span> － street; main street}}"	"<span class=""highlight"">街</span>上聚集了很多民众。"	Many people have gathered in the street.		[sound:oddcast-e833e2f9-de76119c-9437a458-2d487254-c1d88404 (1).mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/34903.gif"" alt=""街""style=""width:75px;height:75px;""/>"	36 CharSet
鞋	"<span class=""tone2"">鞋</span>"	"<span class=""tone2"">xié</span><!--xie-->"	shoe	"<span class=""tone1"">脱</span><span class=""tone2"">鞋</span>{{c1:: － <span class=""tone1"">tuō</span><span class=""tone2"">xié</span> － to take off one's shoes}}"	"<span class=""tone2"">鞋</span><span class=""tone4"">带</span>{{c1:: － <span class=""tone2"">xié</span><span class=""tone4"">dài</span> － shoe lace}}"				"我买了一双<span class=""highlight"">鞋</span>。"	I've bought a pair of shoes.		[sound:oddcast-faed4e6e-def93a67-bcf0c4da-3d715dc3-c0126349.mp3]	"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/38795.gif"" alt=""鞋""style=""width:75px;height:75px;""/>"	36 CharSet
